spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
Eys	ət	ɪʃ	ʃtɪl	ɔp		ʃtʀɒət	mʌ	dan	ʏpɛns	klɪŋkt	bei	eː̃	fən	də		huːzəʀ		çəʀɪŋkəl	fɑ	çlaːs	ən	fʀɒu	kʏmə	çɑnsuəthyskə	nə	buːtə	hei	dʌt	ɪs	nɯ		tufɑləç	dʊː	lœp	jyst	də	çlaːsætəʀ	də	fʀɒu	fʀʊːçt	ɒf	hɪːʀ	də	ʀuːt	wʏl	mɑːkə	mʌ	ɛn		kɒʀtə	tit	vʀɛkə		ɛn	də	ʃtʀɒət				ʀuːtə	dəʀ	pəlis	læt	nʏ	ækstʀə	çʊd	ɔp	wɛnt	ə	dʏ	də	ʃtʀɒətə	lœpt	ma	dan	siːt	əʀ	ɔp		ɛk	fən	də	ʃtʀɒət					ət	jœŋskə	wʏl	jys		ənə	ʃtei	wæʀpə	ɛfə	laːtəʀ	siːt	dəʀ	pəlis	ət	jʏŋskə	saːmə	mɛt	də	çlaːsætəʀ	loːpə	dəʀ	pəlis	bəʃlyt		sə	ɑlətwɪ	aː	tə	hɒːtə	maʀ	ət	lœkt	əm	nɪt	œm	sə	tə	ʃnɑpə		
Finsterwolde	t	ɪs	stɪl	ɔp		strʊːtə	mʌ	dɛn	ɪnɒ̃ĩs	klɪŋkt								xərɪŋkəl		xlas	ə	fraːu	kɔmt	fəsxrɪkt	nɒ	butn		dɑ	z		ɤuk	tufaləx	dʊː	lɒp	nɛt	də	xlasɛtər	də	fraːu	frɑːxt	ɒf	hɑi		rʊːm	ʋɪl	mɒkŋ	mʌr	ɪn		kœːrtə	tit	snøfəln	də					føːl		rɒmm	də	ɑxɛː̃nt	lɛt	nɑu	ɛkstrə	xɑud	ɔp	az	hɑi	dʏːr	də	strʊːtn	lʌpt	mʌr	dɛn	sʏxt	hɑi	ɔp	də	hɑukə	fɑn	t	strʊːtə							ʋɪl	nɛd		n	stɒinə	xɤin	eibm	lʊːtər	sʏxt	d	ɑxɛː̃nt			sʊːmm	mɛt	də	xlasɛtər	lʌupm	d	axɛː̃nt	bəslut	ɔm	sə	ɑːlbɑːidə	æː̃	tə	hɒːdn	mʌr	t	lʏkt	hɒm	nɒit	ɔm	zə	tə	pakŋ	tə	kriɡŋ
Gavere	t	ɑs	stɪl	ɔp		strʊitə	mʌr	tɔθ	ɪneːnəkir	klɪŋkt	bei	ɪː̃	fɑn	d	œːs	œːzn	t	χərɛŋkəl	fɑn	χlʊːs	ə	frɑː	stɑpt		nɑr	bœitn		dʌt	æs	nʌ	ɯk		dər	lœpt	ʃyst		χlʊːsəmʌːkər		mɑdɑm	frɒːχt	ɒfdɑt	ə		rœːtə	wɛlt	mɒkŋ	mʌr	œp		kœrtn	tæːt		dər	ɛn		strʊit	friː			rœːtn	də	ʃɑndɑrm	kɛk	nɑ		χɯt		ʊst	i	dʏːr	də	strʊitn	lʏpt	mər	tʊːs	ziːt	i	ɔp	dən	huk	fɑn	də	strɒitə	ə	klɛːn	mɑnəkə			mɑnəkə		ʃyst		nə	stɪːn	smætn		dərɑχtər	ziːt	də	ʒɑndɑrm		mɑnəkə	typə	mɪt	də	χlʊːsəmʌːkər	løpm	də	ʒɑndɑrm	bəslɪːst	fʏ	s	ɑlətwiə	ɔp	tə	pɑkŋ	mər	t	lœkt	æm	nit	fʏr	zə	tə	fʌstə	tə	stækŋ
Geraardsbergen	t	ɪs	stɪləkis	ɔp		strʊːtə	mʌr		ɑː̃mənəkir						ɒːs			χəlɒːt	fɑ	χlɑs		frɑː						dɑ	mu	nœy	ɯk	lʏkə		lʏpt			xlʊːzəmɑrʃɑn		frɑː	frʊːxt	ɒfdɑt	m		rɒːtə	wɪl	mʊːkən	mɑr					χɒtkɑpɔt									də	ʒɑmpætər						ɑst	m	dʊːr			lʏpt	mʌr	tys	sit	ɛ	ɔp		uk	fɑn	t	strɒːtə	ə						wɑsfɑzɪniʃ					smɒtn	ənbɪcə	lʊːtər	zit		ʒɑmpætər				mɛt		xlʊːzəmɑrʃɑn	løpm	də	ʃɑmpætər		fɒ	z	ɑlətwi	ʊːn	t	hɑːn	ma										
Grijpskerk	t	ɪs	stɪl	ɔp		strʌːt	ma	dan	ɪneː̃ĩs	klɪŋkt	bɛi	ẽĩ	fan	də	hyːs	hyːzn		xərɪŋkəl	fa	xlaːs	ə	frɑu	stapt	ɔndɔːn	na	bytn	hei	dʌ	z	nʌ	ɒk	tufɑləx	dʊː	lɒp	jyst	də	xlasɛtər	də	frɑu	frɒːxt	ɒf	hɛi	də	rut	ʋʏl	mɒkŋ	mʌr	ɪn		kɒrdə	tit	snøfəln	ə	ɪː̃	də	strɒːt	høːl	føːl		rut	də	pəlitsi	lɛt			xʊt	ɔp	az	hɛi	dʊːr	də	strɒːtn	lɒpt	mar		sit	hɛi	ɔp	də	huk	fan	də	strɒːt	ə	lʏ	jɔŋkjə		hɛt	jɔŋkjə	ʋʏl	nɛt		n	steːn	xʊin	ebm	lʌːtər	sɪxt	də	pəlɪtsi	het	jɔŋkjə	sʌːmm	mɛt	də	xlasɛtər	loupm	də	pəlɪtsi	bəslyt		hɛn	bæidn	aː̃	tə	hɒln	mɑr	ət	lʏkt	hɛm	nɪt	ɔ̃m	zə	tə	pɑkŋ	tə	kriɡŋ
Groenlo	t	ɪs	stɪl	ɔp		stʀʌːtə	mɑ	dan	ɪnɛns	klɪŋk	bei	ẽĩ	fan	də		hyːsəʀ		xəʀɪŋkəl	fa	xlas		fʀɒuə	kʏmp	ɔndʌːn	nə	bytn	hɪː	da	s			tufaləx	dɔː	lʏp	jyst		xlasɛtəʀ	də	fʀɒuə	fʀœx	ɒf	hɪː	də	ʀytə	ʋʏ	mɒkŋ	mʌ	ɪn				snøfələn	dəʀ	ɪn	də	stʀɒːtə			ʀytə	ʀytn	də	bɒlə	lɛt	nɒu	ɛkstʀa	xʊd	ɔp	əs	i	dʏːʀ			lœp	mə	dan	sœt	i	ɔp			fan	də	stʀɒːtə	ən	klɛin	mɛnəkə				ʋʏl	nɛt		ə	steːn	smitə	ɛfkəs	lʌtəʀ	zʏt	də	bɒlə	ət	mɛnəkə	saːmm	mɛt	də	xlɑsɛtəʀ	loːpm	də	bɒlə		ɔm	zə		ɑn	t	hɒln					neːt		sə	tə	pakŋ		
Grolloo	hɛt	ɪs	stɪl	ɔp		straːt	mɑ	dɑ	ɪnɪː̃s	klɪŋkt	bɛi	ɪː̃	fan	də	hyːs	hyzn	hɛt	xərɪŋkəl	fan	xlas	ə	frɑu	stɑpt	fənslax	nɑ	bytn	hei	da	z	nau	oːk	tʊfaləx	dʌː	lʌp	jyst	də	xlasɛtər	də	məfrɑu	frʌx	ɒf	ə	də	ryt	wʏl	mɑkŋ	mʌr	ɪn		kœrtə	tit	snøfəln	dər	ɪn	də	straːt	hiːl	fœl	ryt	rytn	də	pəlisiɑxɛː̃t	lɛt	nɑu	ɛkstra	xud	ɔp	as	ə	dʏːr	də	straːtn	lʌp	mɑ	dan	sœt	ə	ɔp	də	huk	fan	də	strʌːt	ən	klɛin	jɔŋki		hɛt	jɔŋki	wʏl	nɛd		n	steːn	xʊin	eːbm	lʌːtər	sœt	də	pəlisiɑxɛː̃t	ət	jɔŋki	sɑːmm	mɛt	də	xlasɛtər	lʌupm	də	axɛː̃t	bəslœt	ɔm		bɛidn	ɑn	tə	hɒln	mʌr	ət	lʏkt		nit	ɔ̃m	sə	tə	pɑkŋ	tə	kriɡŋ
Grouw	ət	ɪs	stɪl	ɔp		strɪtə			ɪniːnn	klɪŋkt	bai	iː̃	fan	də	huːs	hyzn	ət	rɪŋklən	fan	ɡl  ̴ɛːs	ə	frau	stapt	ʊndɪː̃	na	butn	hei	dat	ɪs				da	rɪnt	krɛkt	də	ɡlɛːsɛtər	də	frɑu	freixət	ɒf	hɛi	ət	ryt	ʋɒl	mɑitʃə	mɑr	ɪn		kuɑtə	tiːt	ɡɪːnstɪkŋ	dər	ɪn	də	strɪtə			ryt	rytn	də	pliʃəman				ɡuːt		ɑt	hɛi	trɒx	də		rɪnt	ma	dan	ʃʏxt	ər	ɔp	də	hukə	fan	də	strɪtə	ə̃				ət	jɔŋkjə	ʋɔl	krɛkt		n	stiː̃	ɡʊiə	ɛfkəs	lɛtər	ʃɔxt	də	pliʃəmɑn	ət	jɔŋkjə	təɡɛrə	mɑi	də	ɡl  ̴ɛːsɛtər	rɪnn	də	pliʃəmɑn	bəslyt		harn	bɑidn	ʊːn	tə	hɒːdn	mɑ	ət	slɑxət	əm	nɛt		sə	tə	pakŋ	tə	kræiən
Heerewaarden	ət	ɪs	stɪl	ɔp		stʀʌːt	mɑʀ	dɑn	nɪns		bɑi	ein	fɑn	də		hayzə		çəʀɪŋkəl		çlɑs	ə		stɑpt		nʏ	baytə	hei	dæ	s	nau	ouk	tufɑləç	dɒː	lɒp			çlɑːzætəʀ			fʀɒːçt	ɒf	ti		ʀɒːm	wɪl	maːkə	mɑʀ	ɪn		kɒʀtə	tait	çɒːnkəpɒt	ə	ɪn	ə	stʀʌːt				ʀɒːmə	də	plisi	kɛk	nɑu	ɛkstʀa	çut	ʀɒnt	ɛs	i	dʏːʀ	də	stʀʌːtə	lɒpt	mɑʀ	dɑn	sit	i	ɔp	dən	uk	fʌn	də	stʀɒːt	ə	klɛːn	mɛnəkə		ət	jʏŋskə	wɪl	næt		ənə	steːn	çʊiə	ɛfə	lʌːtəʀ	zit	də	plisi	ət	mɛnəkə	saːmə	mɪt	də	çlɑːzætəʀ	loupə	də	plisi	bəslœt	ɔm	zə	ɑləbæi	ʌːn	tə	hauə	mɑʀ	t	lʏkt	əm	ni		zə	tə	pɑkə	tə	kʀæiçə
Hoeven	t	ɪs	stɪl	ɔp		stʀɑːt	mɑ	dɑn	əneː̃s	kliŋk	bai	ɪːn	fɑn	də	hɑys	hayzə	ət	çəʀiŋkəl	fɑn	çlɑs	ə	fʀɑu	stɑpt	ɔndʌːn	na	baytə	hei	dɑ	s	nɑu	ouk	tufɑləç	dʌː	loupt		də	çlɑsætəʀ		fʀɑu	fʀɑːçt	ɒf	hɛi	də	ʀɑyt	wɪl	mɑːkən	mɑ	ɪn		kɒʀtə	tait	snəøfələ	ɛʀ	ɪn	də	stʀɑːt	hiːl	fœl		ʀɑytə	də	pəlisi	lɛt	ny	ɛkstʀɑ	çut	ɔp	ɑls	ti	dʊːʀ			lɤupt	mɑ	dɑn	sit	i	ɔp	d	huk	fɑn	də	stʀʌːt	ə	klɛin	mɑnəkə				wɪl		me	nə	steːnə	çʊiə	ɛfə	lɑːtəʀ	zit	də	pəlisi	ət	mɑnəkə	saːmə	met	də	çlɑsəzɛtəʀ	lɤupə	də	pəlisi	bəslɑyt	ɔm		baidə	ɑːn	tə	hɑuə	mɑʀ	ət	lʏkt	əm	ni		zə	tə	pɑkə		
Hollum	ət	ɪs	stɪl	ɔp		straːt	mɐ	dɑn	əniː̃s	klɪŋkt	bœi	ɪː̃	fan	də	hys			ɡərɪŋkəl		ɡlɑs	ə	frɑu	stɑpt	skrɒkə	na	bytə	hei	dat	ɪs	nau	ouk	tufɑləx	dɪː	kɔmt	nɛt	də	ɡlaːzəsɛtər	də	frɑu	fraːxt	ɔf	hɛi	ət	ryt	ʋʏl	maːkə	mar	ɪn		kɒrtə	tiːt		ər	ɪn	də	straːt			ryt	raːmə	də	pəlisi	lɛt	nɑu	ɛkstra	ɡuːt	ɔp	ɑls	hɛi	dʏːr	də	straːtə	loupt	mɐ	dɑn	sit	i	ɔp	də	huk	fan	də	straːt	ə	klɛih	jɔəcə		ət	jɔŋəcə	ʋɪl	nɛt		ə	stiːn	ɡʊiə	ɛfkəs	laːtər	sit	də	plisi	ət	jɔəcə		mɛt	də	ɡlaːzəsɛtər	loupə	də	plisi	ʋɪl		sə		aːn		hauə	mar				nit		sə	tə	pɑkən		
Horn	əd	ɪʃ	ʃtɪl	ɔp		ʃtʀɒːt	mɑ	dæn	ɪnɛns	klɪŋkt	bi	ein	fɑn	dəʀ	huːs	huːzəʀ	ət	çəʀɪŋkəl	fɑn	çlaːs	ein	fʀɒu	ʃtɑpt		nɑ	buːtə	heː	dæ	s	nʊ	ouk	tufɑləç	dʌː	lœp	nɛt	də	çlaːzəzætəʀ	də	fʀɒu	fʀøːʃ	ɒf	hɛi	də	ʀuːt	wʏlt	maːkə	mɑʀ	ɛn		kɒʀtə	tiːt	ʃnøfələ	dəʀ	ɛn	də	ʃtʀɒːt	hiːl	fœːl	ʀut	ʀuːtə	də	pliʃeçænt	let	nu	ækstʀə	çʊːd	ɔp	æs	hɛ	dʊːʀ	də	ʃtʀɒːtə	lœpt	ma	dan	zyt	əʀ	ɔp	ə	huːk	fɑn		ʃtʀɒːt	ɛn	klɛin	jʏŋskə		ə	jʏŋskə	wʏlt	næt		ənə	ʃtein	çʊiə	ɑfə	laːtəʀ	zyt	də	pliʃeçænt	ət	jʏŋskə	saːmm	mət	də	çlaːzəzætəʀ	l  ̴oupə	də	ɑçænt	bəʃlyt		zə		aːn	tə	hɒiə	maːʀ	ət	lʏkt	əm	nɪːt	ɔm	zə	tə	pɑkə	tə	kʀiçə
Houthulst	t	ɪs	stɪlə	œp		strɒːtə	mɒ	tɯnə	ɔməkir	kliŋkt	bi	ɪːn	fɑn	d	ys	yzn	t	χəriŋkəl	fɑn	hlɑs		frɒumɛː̃s	kɔmt	ʌntɔːn	nɒ	bytn	ɛ	dʌ	z	nʏ	oːk	tufʌləç		lɒpt	ʃystə	də	hlʊːzəmʌːkər		frɒumɛː̃s	frɑːχt	ɒfdɑt	m	də	rytə	wɛlt	fəmʌːkŋ	mɒ	ɛn	ən	kɒrtn	tit	snøfəln	dər	ɛn	də	strɒːtə			rytə	rytn	də	flik	læt	ny			œp	ɒt	m	dʏːr			lɒpt	mɒ	tun	siːt	m	œp		uk	fɑn	də	strɒːtə	ə	klɪːn	jʊŋəcə			jʊŋəcə	wɛlt	ʃystə		ə	stɪːn	smɪtn	əbɪcə	lɒːtər	siːt	də	flɪk	t	juŋəcə	toːpə	mæt	də	hlʊːzəmʌːkər	loːpm	də	flɪk	bəslyt	fə	z	ɒlətwɪə	ɑn	t	ʊn	mɒ	t	lʏkt	æm	ni		sə	tə	pɑkŋ		
Huizen	hɛt	ɪs	stɪl	ɔp		strɪːt	mɑ	dɑn	ɪneins	klɪŋk	bɛi	ein	fɑn	də	hays		hɛt	xərɪŋkəl	fɑ	xlas	ən			ɔndɪːn	na	baytə	hei	da	z		ɤuk		dɪː	loupt			rɪːməsɪtər			fraːxt	ɒf	hɛi		rɪːm	ʋɪlə	mɑːkə	mɑr	ɪn		kɒrtə	tɛit	xɪːnkɑpɒt	ər					fʏːl		rɪːmə	də	pəlisi	kɛikt					ɑlz	i	dʏːr			loːpt	mɑ	dɑnʲ	sit	i	ɔp	də	huk	fɑn	də	strɪːt	ən	klɛin	jɔŋəcə				ʋʏl	nɛt	mɛt	ə	steːn	xʊiə	ɛfə	lɪːtər	sit		pəlitsi		jɔŋəcə	saːmə	mɛt	də	xlasɛtər	loːpə	də	pʊlisi	xɪːt			bæidə			ɪnhʏnkraːxfɑtə	mʌr	ət	lʏkt	əm	næit		sə	tə	pɑkə	tə	krɛixə
IJmuiden	hɛt	ɪs	stɪl	ɔp		straːt			plɔtsəlɪŋ	klɪŋkt	bɛi	ein	fɑn	də	hays	haysə		xərɪŋkəl		xlɑs	ə	məfrau	stɑpt	hefəxəsxrɔkə	nɑ	bœytə		dɑ	s			tufɑləx	daː	loupt		də	xlʌsɛtəɻ	də	məfrau	fraːxt	ɒf	hɛi		raːm	ʋɪl	maːkə		ɪn	ən	kɒrtə	tɛit	xaːnkəpɒt						fɪːl		raːmə	də	ɑxɛnt			ɛkstra	xut	ɔp								dɑn	sit	hɛi	ɔp	də	huk				ən	klɛin	bɪŋkjə	staːnʲ			ʋɪl	nɛt		ə	stein	xɤiə	ʋɑt	laːtər	sit	də	ɑxɛnt	hɛt	bɪŋki	saːmə	mɛt	də	xlɑsɛtər	loupə	də	pəlitsimɑnʲ								mɑr	hɛt	lʏkt	hɛm	nit	ɔm	sə	tə	pɑkə	tə	krɛixə
IJsselmuiden	t	ɪs	stɪl	ɔp		stʀʌːtə	mɑ	dɑn	ɪnɪː̃s		bei	ɪː̃	fɑn	də	hys	hyzn	hət	xəʀɪŋkəl	fɑn	xlɑs	ə	fʀɑuə	kʏmp	ɔntdɒːn	nə	bytn	hɪi	dæ	z	nau	oːk	tufɑləx	dɑ	lʌp	nɛt	də	xlɑsɛtəʀ	də	fʀɑuə	fʀœx	ɒf	ə	də	ʀytə	ʋʏl	ʀepəʀɪːʀn	ma	ɪn		kɑʀtə	tit	snøfəln	dəʀ	ɪn	də	stʀʌːt			ʀytə	ʀytn	də	plisiɑxɛnt	læt	nɑu	ækstʀa	xut	ɔp	ʌs	i	dʏːʀ	də	stʀʌːtn	lœp	ma	dɑn	sœt	ə	ɔp	də	huk	fɑn	də	stʀʌːt							ʋʏl	nɛt		ə	steːn	xʊin	eːbm	laːtəʀ	zœt	də	plisiɑxɛnt			saːmm	mɛt	də	xlɑsɛtəʀ	lʌupm	d	ɑxɛnt	bəslœt	œm	sə	ɑləbai	ɑn	t	hɒln	maːʀ	ət	lʏkt	əm	nit		sə	tə	pɑkŋ	tə	kʀiɡŋ
Itegem	t	ɪs	stil	ɔp		strɑːt	mɒ	dɑn	ɪnɪː̃s						hɔəs					çlɑs		fraː	kɔmt	hɪləmɑlɑː̃çədɑː̃	nə	bɔətə		dɑ	z	nɛ			dɒ	lœp	ʃyst	də	çlɑːzəmɑːkər		fraː	frʌːçt	ɒfdɑt	m		rɒət		mʌːkə	mɒ					çɑnkɑpɒt	dər	ɪn	t	strɑːt	hɪːl			rɒətə	də	pɒlis	kekt	nɑu				ɑs	m	dʏːr			lœpt	mə	dɑn	siːt	m	ɔp	dən	uk	fɑn	t	strʌːt							wɪl	ʃyst		nə	stɪːn	smæːtə	əbekə	lʌːtər	ziːt				juəskə	sɑːmə	mɛt	də	çlɑːzəmɑːkər	lɤːpə	də	pɒlis	çʌːt		sə	aləbæː			pakə	mə										
Jubbega	ət	ɪs	stɪl	ɔp		strɪtə			ɪ̃iː̃s		bai	ɪː̃	fan	də	hys	hyzn		ɡərɪŋkəl	fan		ə	frau	rɛnt	srʌkŋ	na	butn							dɛː	rɪnt	krɛk		ɡlɛːsəsɛtər	də	frau	freixət	ɒf	hɛi		ɡlɛːs	ʋɒl	mɑitʃə	mɑ	ɪn		kuɑtə	tiət	ɡɪnstɪkŋ	ər							ɡlɛːzn	də	pliʃə	lɛt	nə	ɛkstra	ɡuːt	ɔp	ɑs	hɛi	trɒx	də	strɛtn	rɪnt		dɑn	ʃʏxt	ər	ɔp	də	hukə	fan	də	strɪtə	ən	lits	jɔŋkjə	stɪː̃n	ət	jɔŋkjə	ʋɔl	krɛk		n	stiː	ɡʊiə	eifkəs	lɛtər	ʃœt	də	pliʃə	ət	jɔŋkjə	saːmm	mɛi	də	ɡlɛːsəsɛtər	rɪnn	də	pliʃə	bəslyt	ɔm		ɑləbɛi	ɑn	tə	hɑːdn	mar	ət			nɛt						
Kampen	ət	ɪs	stɪl	ɔp		stʀʌːtə	mɑ	dɑn	ɪneː̃s	klɪŋk	bi	eːnə	fɑn	də	hys	hyzə	hət	xəʀɪŋkəl	fɑn	xlɑs	ə	fʀɑuə	stɑpt	ɔntdɔːn	nə	bytn	həː	dæ	s		ok	tufɑləx	dʌ	lœp	jyst	də	xlaːzəkɪːʀəl	də	fʀɑuə	fʀœx	ɒf	i	də	ʀytə	ʋɪl	mɒkŋ	mɑʀ	ɪn		kɒʀtə	tit	snøfəln	ɛʀ	ɪn	də	stʀʌːtə	hiːl	fʏːlə	ʀytə	ʀytn	də	pʊlisi			ɛkstʀa	xut	ɔp							ma	dɑn	sit	i	ɔp			fɑn	də	stʀʌːtə	ə	klɛin	jɔŋxi		ət	jɔŋxi	ʋɪl	jyst		ə	steːnə	xʊin	iːbm	laːtəʀ	sit	də	pəlisi	t	jɔŋxin	saːmm	mɛt	də	xlɒːzəkɪːʀl	loːpm	də	pəlisi	bəslœts	ɔm		bɛidn	ɑn	tə	hɒln	mæːʀ	ət	lʏkt	həm	nit	œm	sə	tə	pɑkŋ	tə	kʀiɡŋ
Kerkrade	əd	ɪʃ	ʃtɛl	ɔp		ʃtʀɔəʃ	mɑ	dan	ɪnɛns	klɪŋkt	bei	ɪː	fan	də	huːs	hyːsəʀ	ət	çəʀɪŋkəl	fɑn	jlaːs	ɪn	fʀʌu	ʃtɑpt	ɛntsɛtst	nɒ	buːsə		dɑt	ɛs			soufæləç		lyft	çʀaːt		ʀuːtsɛtsəʀ	də	fʀʌu	fʀɒd	ɒf	hɪːʀ	də	ʀuːt		mɑːkə	mɑʀ	ɛn	ən	kɒʀtə	tsit	ʃnøfələ		ɪ	jɪn	ʃtʀɔəʃ			ʀut	ʀuːtə	dəʀ	pəlis	pɑst	nun			ɔp	wɛnt	hɪːʀ	dœʀç			lʏpt	mɑːʀ	dɑ	ziːt	əʀ	ɔp		ɛk	fan		ʃtʀɔəʃ	ɛ	klɛin	jʏŋʃə	stʊə	ɛt	jʏŋʃə	wɒl	çʀaːt		ənə	ʃteː	wæʀpə		ʃpiːdəʀ	zɪːt	dəʀ	pəlis	ət	jʏŋkə	tsəsɑːmə	mæt	dəʀ	jlɑːsætsəʀ	loːfə	dəʀ	pəlis	bəʃlyt	œm	di	tswɑi	aː	tə	hʊːdə	mɑːʀ	d	lœkt	əm	nɪt	œm	sə	tsə	pɑkə	tə	kʀi
Koekange	t	ɪs	stɪl	ɔp		strʌːtə	ma	dan	ɪniː̃s	klɪŋkt	bei	iː̃	fan	də	hys	hyːzn		xərɪŋkəl	fa	xlas	ə	frɑuə	stɑpt	ɔntdɔːnə	nə	bytn	hɪː	da	z			tufɑləx	də	kʏm		də	xlaːznzɛtər	də	frɑuə	frœx	ɒf	hɛi	də	rutə	wʏl	maːkŋ	maːr	ɪn		kɒrtə	tit	xɒːtkəpɒt	ə						rutə	rutn	də	ʋikaxɛnt			ɛkstrə			ɑlz	he	dʏːr			lœp	ma	dan	sɛt	he	ɔp	də	huk	fan	də	strʌːdə	ən	klɛin	jɒxi		ət	jɒxi	wɪl	nɛt	mɛt	n	steːn	xʊin	iːbm	laːtər	sɛt	də	ʋikaxɛnt	hɛt	jɒxi	saːmm	mɛt	də	xlaːsəsɛtər	loːpm	də	ʋikaxɛnt	bəslœt	œm	zə	bɛidn	an	tə	hɒln	mar	ət	lʏkt	əm	nit		sə	tə	pɑkŋ	tə	kriɡŋ
Kudelstaart	t	ɪs	rʏstəx	ɔp		straːt		danʲ	ɪneins	klɪŋk	bɛi	eː	fɑnʲ	də	hays	haysə		xərɪŋkəl	fɑ	xlɑs	ə	frau	stɑpt	xəsxrɔkə	na	baytə		dɑt	ɪz		ouk	tufɑləx	daː			də	xlɑsɛtər	də	məfrau	fraːxt	ɒf	hɛi		raːm	ʋɪl	repɑrɪːrə	maːr	ɪn		kʊrtə	tɛit	snøfələn	ɛr	ɪn	də	straːt	hɪːl	fɪːl		raːmən	də	pəlitsiɑxɛnt	lɛt	ny	ɛkstra	xut	ɔp	ɑls	hɛi	dʊːr	də	straːtən	loupt		dʌnʲ	sit	hɛi	ɔp	də	huk	fɑnʲ	də	straːt	ən	klɛin	jɔŋəcə		hɛt	jɔŋəcə	ʋɪl	nɛt		ə	stein	xɤiə	eifə	laːtər	sit	də	pəlitsiɑxɛnt	hɛt	jɔŋəcə	saːmə	mɛt	də	xlɑsɛtər	lɑupən	də	ɑxɛnt	bəslœyt	ɔm	zə	ɑləbɛi	æːn	tə	hɑudən	mar	ət	lʏkt	əm	nit	ɔm	sə	tə	pɑkə		
Laren	həd	ɪs	stɪl	ɔp		strʌːtə	ma	dan	ɪnɛns	klɪŋk	bi	eː̃	fan	də	hys	hyzə	ət	xərɪŋkəl	fɑ	xlas	ə	frɑuə	stapt	hɪːlməlfandəʋizə	nə	bytn	heː	da	z	nu	oːk		dɒː	lœpt		də	xlasɛtər	də	frɑuə	frœx	ɒf	ə	də	rutə	ʋʏl	maːkŋ	mar	ɪn		kɒrtə	tit	xɒːtɑndɪxələ	ə	ɪn	də	strʌːt			rutə	rutn	də	pʊlitsiɑxɛnt		nu			ɔp	as	ə	dʏːr	də	strʌːtə	lœp	mɑ	dan	sœt	ə	ɔp	t	hoːk	fan	də	strʌːtə	ən	klɛin	kɪɛlcə		ət	kɛːlcə	ʋɪl	nɛt		n	steːn	xʊin	ɛfən	laːtər	sœt	də	axɛnt	hət	jʏŋskə	saːmm	mɛt	də	xlasɛtər	lɔːpm	də	ɑxɛnt	bəslœt	œm	zə	bɛidə	ɑn	tə	hɒln	mɑr	ət	lʏkt	əm	ni		sə	tə	pɑkŋ	tə	kriɡŋ
Leersum	hɛt	ɪs	stɪl	ɔp		straː		dan		klɪŋkt								xərɪŋkəl	fɑn	xlɑs	ə	frɑu	kɔmt	heːləmɑːlfəslɑx	nɑ	baytə	hei	dɑ	s	nau		tufɑləx	daː	lɤupt		də	xlaːzəsɛtər	də	frɑu	fraːxt	ɒf	hɛi	də	rayt		maːkə	ma	ɪn		kɒrtə	tæit	xaːnstʏk	ə					fɪːl		raytə	də	pəlitsiɑxɛnt	lɛt	ny	ɛkstra	xut	ɔp	ɑs	hɛi	dʊːr	də	straːtə	lɤupt	mæ	dɑn	sit	hɛi	ɔp	də	huk	fɑn	də	straːt	ən	klɛin	jɔŋəcə		hɛt	jʌŋəcə	ʋɪl	nɛt		ə	stein	xʊiə	eifə	laːtər	sit	də	pəlitsiɑxɛnt	hət	jɔŋəcə	saːmə	mɛt	də	xlɑsɛtər	lɤupə	də	ɑxɛnt	ʋɪl		zə	ɑləbɛi	ɔp		pɑkə	ma	ət	lʏkt	əm	nit		sə	tə	pɑkə	tə	krɛixə
Lemmer	t	ɪs	stɪl	ɔp		strɪtə			ɪniːnn	klɪŋkt	bai	ɪː̃	fan	də	hys	hyzn		ɡərɪŋkəl		ɡlɛːs	ən	frau	stapt	fəslain	nə	bytn	hei	da	s			tufɑləx	dɛː		krɛk	də	ɡlɛːsɛtər	də	frau	freixət	ɒf	hɛi		raː̃m	ʋɒl	mɑitʃə	mɑr	in	ən	kœːtə	tiət	ɡɪnstɪkŋ	dər	in	ə	strʏtə			ryt	raːmm	də	pəliʃə				ɡuːj		ɑt	hɛi	trɔ	də		rɔnt	ma	dɑn	ʃʏt	hɛi	əp	də	hukə	fan	də	strʏt	ə	lits	jɔŋkjə		ət	jɔŋkjə	ʋɔl	krɛk		ən	stɪː̃n	ɡʊiə	eifə	lɛtər	ʃʏt	də	pəliʃə	ət	jɔŋkjə	təɡɛrə	mai	də	ɡlɛːsɛtər	rɔnn	də	plisiman	bəslyt	ɔm	sə	bɛidə	ɑn	tə	hɒːdn	mar	ət	lʏkt	əm	nɛt	ɔm	sə	tə	pɑkŋ	tə	kræiən
