	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italië	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Zoutkamp	hounər	mi	kɑmərʊət	blʊm	spɪn	mɑzin	ʋɑrkʋɑk	ʊp	sxɪp	kreɡŋ		brʏɡŋ	tɪmərmɑn	splɪndər	vɪŋər	fəbrik	fɑir	bɑirbiər	tʋɛi	drɑi	hɑi	stɔk	ɪk	knɛi	zɑin	kɔpstʏbər	pɛt	pʊtstɔul	keərl	brɑidə	stɑin	brɑidər	brɑistə	stɑnbelt	dyvəl	blebm	mestər	ze	xeərn	pininhɑls	stɔk	bɛzəm		rɔupm	peər	rip	xɛlt	ʋit	brɪŋ	vrɔu	sʋɛm	stɑk	bɛər	ʊptɪln	mɛtslʊər	sprɪŋ	brʏx	vʊədər	sœz	jʊər	sxɔul	lʊətn	xʊə	ʋʊətər	pɔtn	bɪn	føl	meət	nɔx	kʊəlt	keəs	xɛft	lɪxt	peət		zʋɑlfkəs	kes	motər	dɑɣ	ʊəbmt	jʊŋkjə		brɑiv	hɑt	spɑn	nɛijə	ʋʊəɡŋ	zøn	kønɪŋ	ʊk	ʋɛst	rozn	lɑŋə	ʋoət	kin	ʋɑz	mʊxjə	bʊs	lɛdər	mʊnt	drøx	dœst	ʋɛɣ			xɔut	kɛlər	føə	mʊs	ɔzəblɔut	drɪŋkŋ	brœijər	mœit	zupm	dʏn	zyər	pʏt	yər	itʊəljə	bɑɡŋ	fyər	spɛin	dɔudn	hɛbm	stʏk	brʏx	fol	kʊm	døər	nɑin	xrɑs	brɔuwər	bɑkŋ	du	ɑijər	kriɡŋ	mɑt	ʋɑzn	fif	ɛkls	hoi	ɪz	xrøn	bomkə	ʋin	huz	mɛlk		kɔu	kœstər	koər	buɡŋ	mʊfm	blɔu	slʊəɡŋ	sjy	lɑf	snɛi	stɑt	dɔun	døpm	døpfʊnt	sɔldʊətn	dœrsn	bin	bʊn
Sint Annaparochie		mi	frɪnt				ʋɛrk	ɔb	skɪp	kreɣə		bɔl			fɪŋər		fiə	biər	tʋe	drijə	hɛi	knɛpəl	ɪk	kniə	siən				kerl		sten	bredər			dyvəl	blevən	mestər	se	ɡræɣ		stɔk	bezəm		ropm	peər	rip	ɡɛlt	feə	brɪŋə		sʋɛmə		bɛd			sprɪŋə		hɑit	sɛs	jar	skoəl	lætn	ɡa		pɔtn	bɪn	føl	mat	nɔx	kɔut	keəz	ɡeft	lɪxt	peəd	tøɣə		kes		dɑɣ	avən		sxøər	briəv	hɑit	sla	nɛijə	kɑrə	søn	koənɪŋ	ʊk	ʋest		lɑŋə	ʋoət	ki	ʋɑr	mɑisi	bʊs	lɑdər	mʊnd	drox	dɔəstdɔst	dik			ɡuət	kɛldər	foə	mʊst		drɪŋkə	bruər	muə		dʏn	syər	pʏt	yər			fyər		dɔuwən	hɛvə	stʏk	brʏx	fʊəltsi	kʊmə	døər		ɡrɑs		bɑkə	dɔu	ɑijəs	krɛijə		ʋarn	fɛif		hoi	ɪz	ɡruən	bompi	ʋin	hyz	mɛlk	spɔit	kuə	kɔstər		byɣə		blɔu	sluɣən	sjʏ	lɑf	sne		duən	dopə			dɔəsə	binə	
Hallum		mi	frøə				ʋʏrk	ʊp	skɪp	kriɣə		bɔələ			fɪŋər		fjɔuwər	biər	tʋɑ	trɛijə	hɛi	knɛpəl	ɪk	knɪbəl	sjuən				kjɪrl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑ		stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		swɛmə		bɛət			sprɪŋə		hɑit	sɑiz	iər	skuɑlə	lɪtn	ɡɪə		pɔtn	bɪn	fʊlə	mɑt	nɔ	kɔət	kɛz	jɔut	ljɔxt	hindər	tsjɪ		tsis		dɑi	jun		bɑst	briəf	hɑt	slɑ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛ	ʋjɪ	fɑmk	bʊs	ljɛdər	mulə	drux	toəst	dik		fɛskə	ɡuət	kɛldər	fuɑ	must		drɪŋkə	bruər	ʋʏrx		tɪn	suər		uərə			fjuər		trjowə	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	doər		ɡɛəs		bɑkə	dʊ	ɑijəŋ	krɛijə		ʋiən	fif		heə	ɪ	ɡriən	bjɪmkə	ʋin	huz	mɔlkə		ko	kɔstər		buɣə		blɔu	slɑin	sɔuz	lɑf	sniə		dwɑn	dopə			tɛskitɛskjə	binə	
Stiens	hɪnə	mi	frø	blʊm	spɪnə	məsin	ʋʏrk	ʊp	skɪp	kriɣə		bɔələ	tɪmərmən	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hɛi	stɔək	ɪk	knɪbəl	sjuən	rɛəɣəbɔl	pɛt	pʊdəstuəl	keərəl	bredə	stjɪn	bredər		stɔmbelt	dyvəl		mestər	se	ɡrɑ	pininəkel	stɔək	biəzəm	ne	rʊpm	pɑr	rip	jɪlt	fiəfiər	brɪŋə	ʋiv	sʋɛmə	stɛrk	bɛət	ʊptɪln	mɛtslər	sprɪŋə	bɔələ	hɑit	sɑiz	iər	skuɑlə	lɪtn	ɡeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kɛz	jɔut	ljɔxt	hindər	sjɪ	sʋɛltsis	tsis	motər	dɑi	jun	jʊŋkjə	bɑst	briəv	hɑt	dʊ		ʋɑin	sʊə	kʊənɪŋ	ɛk	ʋɛst	roəzn	lɑŋə	ʋʏt	bɛntsi	ʋiə	fɑmkə	bʊsbʊsk	ljɛdər	mulə	drux	toəst	ʋɑi		liətsi	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋɑrəx	sup	tɪn	suər	pʏt	uərə	itɑljə	bɛrɣən	fjuər	spœyjə	trjouwə	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	doər	nɑijə	ɡɛəs	brɔuwər		do	ɑijəŋ	krɛijə	mɛrk	ʋin	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə		ko	kɔstər	krʊədə	buɣə	dytsəs	blɔu	slɑin	sɔuz	lɑf	sniə	stɛət	dʋɑn	dopə	dopfʊnt	səldɑtn	tɛskjə	binə	bun
Westergeest		mi	frøə				ʋʏrk	ʊb	skɪp	kriɣə		bɔlə			fɪŋər		fjɔuwər	biər	tʋɑ	trɛijə	hi	stɔk	ɪk	knɪbəl	sjuən				keərl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑ		stɔk	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛmə		bɛt			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	keəz	jɔut	ljɔxt	hindər	tsjɪ		tsis		dɛi	jun		bɑst	briəv	hɑt	slɑ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊsk	ljɛdər	mulə	drux	tʊəst	ʋɛi		fɛskə	ɡuət	kɛldər	fuɑ	must		drɪŋkə	bruər	ʋɑrəx		tɪn	suər	pʏt	uərə			fjuər		drʏkə	hɑ		brɛəɣə	fɔələ	kʊmə	doər		ɡjɛs		bɑkə	du	ɑijəŋ	kreijə		ʋiən	fif		heə	ɪz	ɡriən	bjɪmkə	ʋin	hys	mɔlkə	spœytət	ku	kɔstər		buɣə		blɔu	slen	sjø	flɔu	sniə		dʋɑn	dopə			tɛskjə	binə	
Grijpskerk		miŋ	kɑmərʊət				ʋɑrk	ʊp	sxɪp	kreɡŋ		brod			fɪŋər		fiə	biər	tʋe	dri	hɛi	knʏpəl	ɪk	knɛi	sin				keərl		stin	bridər			dyvəl	blebm	mestər	se	xrʊəɣ		stɔk	bɛzəm		rupm	peər	rip	xɛlt	fɛr	brɪŋ		sʋɛm		bɛrə			sprɪŋ		pɑpə	zɛz	jʊə	sxul	lʊətn	xʊə		pɔtn	bɪn	føl	meət	nɔx	kɔlt	keəs	xɛft	lɪxt	peət	teɡŋ		kes		dɑɣ	ʊəbmt		bɑst	briv	hɑt	spɑ	nɛijə	kɑr	zø	kønɪŋ	ʊk	ʋɛst		lɑŋə	ʋoət	kintjə	ʋɑz	ʋɪɣjəmɛiskə	bʊs	lɛdər	mʊnt	drøx	dʏst	ʋɛɣ		litjə	xut	kɛlər	føə	mʊs		drɪŋkŋ	bruər	mudə		dʏn	zyər	pʏt	yər			fyər		dɔudndrʏkŋ	hɛ	stʏk	brʏɣ	fol	kʊm	døər		xrɑs		bɑkə	jə	ɛijən	kriɡŋ		ʋʊərn	fif		hoi	ɪz	xrun	bomkə	ʋin	hyz	mɛlk	spœyt	ku	kɔstər		byɡŋ		blɔu	slʊəɡŋ	sjy		snɛi		dun	døpm			dœəsn	bin	
Sexbierum	hɪn	mi	frøə	blʊm	spɪnə	məsin	ʋʏrk	ʊp	skɪp	kriɣə		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	twɑ	trɛijə	hɛi	knɛpəl	ɪk	knɪbəl	sjuən	reəɣəbɔl	pɛt	pʊdəstuəlpɑdəstuəl	kjɪrl	bredə	stjɪn	bredər	brestə	stɔmbeltstɑntbelt	dyvəl	bløən	meistər	se	ɡrɑx	pininəkel	stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiər	brɪŋə	frɔu	swɛmə	stɛrk	bɛət	ʊptɪln		sprɪŋə		hɑit	sɑiz	jiə	skuɑlə	lɪtn	ɡeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑət	nɔx	kɔət	kɛs	jɔut	ljɔxt	hindər		swɛln	tsis	motər	dɑi	jun	jʊŋki	bɑstskuor	briəf	hɑt	slɑ	nɛijə	kɑrə	sʊən	konɪŋ	ɛk	ʋɛst	roəzn	ɡrʊtə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊsk	ljɛdər	mulə	drux	toəst	dik		fɛskə	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋʏrx	supə	tɪn	sur		urə	itɑljə	bɛrɡənbɛrɣən	fjur	spœijə	drʏkən	hɛ	stɪk	brɛəɣə	fɔələ	kʊmə	doər	nɑəijə	ɡɛəs	brɔuwər	bɑkə	do	ɑəjənɔəijən	krɛijə	mɛrk	ʋjɪn	fif	ɛkəls	heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœitət	kɔu	kɔstər	kroədə	buɣə	dytsəs	blɔu	slɑint	sjy		sniə	stɛət	dwɑn	dopə	dopfʊnt	sɔldɑtn	tɛskjə	binə	bun
Tietjerk		mi	frøə				ʋʏrk	ʊp	skɪp	kriɣə		bɔlə			fɪŋər		fjɔuwər	biər	tʋɑ	trɛijə	hi	knɛpəl	ɪk	knɪbəl	sjuən				keərl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑɣ		stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛməsʋɛmən		bɛədbɛət			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kɛs	jɔut	ljɔxt	hindər	sjɪ		tsis		dɛi	jun		skuʊr	briəv	hɑt	slɑɣəslɑ	nɛijə	kɑrə	sʊən	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsi	ʋiə	fɑŋkə	bʊsk	ljɛdər	mulə	drux	tʊəst	dik			xuət	kɛldər	fuɑ	must		drɪŋkə	bruər	ʋɑrəx		tɪn	suər	pʏt	uərə			fjuər		trjowən	hɑ	stɪk	brɛɣə	fɔlə	kʊmə	doər		ɡɛs		bɑkə	do	ɑijəŋ	krɛijə		ʋiən	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər		buɣə		blɔu	slɛin	sjøy	flɔu	sniə		dʋɑn	dopə			tɛskjə	binə	
Veenwouden		mi	frøə				ʋʏrk	ʊp	skɪp	kriɣə		bɔlə			fɪŋər		fjɔuwər	biər	tʋɑ	trɛijə	hi	knɛpəl	ɪk	knɪbəl	sjuən				kerl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑ		stɔkstɔkstʊək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛmə		bɛt			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔətkʊət	kɛs	jɔut	ljɔxt	hindər	tsjɪtjɪ		tsis		dɛi	junjun		skuʊr	briəv	hɑt	spɔnə	nejənɛijə	ʋenʋɛin	sʊə	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkɪ	bʊsbʊsk	ljɛdərlɛidər	mulə	drux	tʊəst	ʋɛi			ɡuət	kɛldər	fuɑ	must		drɪŋkə	bruər	ʋɑrəx		tɪn	suər		uərə			fjuər		drʏkətrywəntrjowən	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	doər		ɡjɛs		bɑkə	du	ɑijəŋ	krɛijə		ʋiən	fif		heə	ɪz	ɡriən	bjɛmkə	ʋɪn	huz	mɔəlkə	spøytət	ko	kɔstər		buɣə				sjøsjy	flɔuflɔu	sniə		dʋɑn	dopə			tɛskjə	binə	
Bergum	hɪn	mi	frøə	blʊm	spɪnə	məsjinəs	ʋʏrk	ʊp	skɪp	kriɣə		bɔləbɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hi	knɛpəl	ɪk	knɪbəl	sjuən	rɛəɣəbɔl	pɛt	pʊdəstuəl	kiɪrl	bredə	stjɪn	bredər	brestə	stɔndbelt	dyvəl		mestər	se	xrɑɣ	pininəkelpinəkel	stɔk	biəzəm	ne	rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə	frɔu	sʋɪmə	stɛrk	bɛt	ʊptɪln	mɪtslər	sprɪŋə	boələ	hɛit	sɛiz	iəiər	skuɑlə	lɪtn	ɡɪə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kɛs	jɔut	ljɔxt	hindər	tjɪtsjɪ	sʋɛltsis	tsis	mʊtərmʊtərfits	dɛi	jun	jʊŋkjə	bɑst	briəv	hɑt	slɑ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst	roəzn	lɑŋə	ʋʏt	bɛntsi	ʋiə	fɑmkə	bʊsbʊsk	lɛidər	mulə	drux	tʊəst	ʋɛi		liətsi	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋɑrəx	sup	tɪn	suər		uərə	itɑlijə	bɛrɣən	fjuər	spœyjə	trywə	hɑ	stɪk	brɛəɣə	fɔlə	kʊmə	dʊər	nɑijə	ɡɛs	brɔuwər	bɑkə	du	ɑijəŋ	krɛijə	mɛrk	ʋiən	fif	ikəls	heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər	krʊədə	buxt	dytsərs	blɔu	slɛin	sɔuz	flɔu	sniə	stɛt	dʋɑn	dopə	dopfʊnt	səldɑtn	tɛskjə	binə	bon
Surhuisterveen	hɪn	mi	mɑt	blʊm	spɪnə	məsinə	ʋʏrk	ʊb	skɪp	kriɣə		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hi	knɛpəl	ɪk	knɪbəl	sjuən	rɛəɣəbɔlrɛəɡəbɔl	pɛt	pʊdəstuəl	keərl	bredə	stjɪn	bredər	brestə	stɔntbelt	dyvəl	blɑun	mestər	se	ɡrɑ	pininəhɔls	stɔk	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə	frɔu	sʋɛmə	stɛrk	bɛət	ʊptɪln	mɪtslər	sprɪŋə	bɔələ	hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	keəz	jɔut	ljɔxt	hindər	tsjɪ	sʋɛlnsʋɛltsis	tsis	motər	dɛi	jon	jʊŋkjə	bɑst	briəv	hɑt	spɔ	nejə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst	roəzn	lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊs	lɛidər	mulə	drux	tʊəst	vɛi		fɛskə	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋɑrəx	supə	tɪn	suər	pʏt	uər	itɑlijə	bɛrɣən	fjuər	spøijə	drʏkə	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	dʊər	nɑijə	ɡjɛs	brɔuwər		du	ɑijəŋ	krejə	mɑrkə	ʋiən	fif	ikəls	heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spøytət	ku	kɔstər	krʊədə	buɣə	dytsərs	blɔu	slen	sjy	flɔu	sniə	stɛt	dvɑn	dopə	dopfʊnt	səldɑtn	tɛskjə	binə	bon
Spannum		mi	frøən				ʋʏrk	ʊp	skɪp	kriɣə		bɔələ			fɪŋər		fjɔuwər	biər	tʋɑ	trɛiə	hɛi	knɛpəl	ɪk	knɪbəl	sjuən				keərl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑx		stɔk	biəzəm		rʊpm	pɑr	rip	jɪlt	fiər	brɪŋə		swɛm		ledikɔnt			sprɪŋə		hɑit	sɑiz	jiəjiər	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kɛs	jɔut	ljɔxt	hindər			tsis		dɛi	jun		skuʊrbɑst	briəf	hɑt	slɑə	nɛiə	kɑrə	soən	koənəŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsjə	wjɪ	fɑmkə	bʊsk	ljɛdər	mulə	drux	toəst	ʋɛi		liətsjə	ɡuət	kɛldər	fuɑr	must		drɪŋkə	bruər	ʋʏrx		tɪn	sur	pʏt	uərə			fjur		trjowə	hɛʋəhɛ	stɪk	brɛəɣə	fɔələ	kʊmə	doər		ɡɛəs		bɑkə	dou	ɑijən			ʋin	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœitət	kou	kɔstər		buɣə		blɔu	slɑinslɑint	sjy		sniə		dʋɑn	dopə			tɛskiə	binə	
Grouw	hɪn	mi	frøən	blʊm	spɪnə	məsin	ʋʏrk	ʊb	skɪp	kriɣə		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hɛi	stɔkstɔəkstɔk	ɪk	knɪbəl	sjuən	rɪəɣəbɔl	pɛt	pʊdəstuəl	kɪrl	bredə	stjɪn	bredər	brestə	stɔnbelt	dyvəl	bløən	mestər	se	ɡrɑɣ	pininəkiəl	stɔəkstɔkstɔk	biəzəm	ne	rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə	frɔu	sʋɛmə	stɛrk	bɛət	ʊptɪln	mɪtslər	sprɪŋə	bɔələ	hɑit	saiz	iərjiər	skuɑlə	lɪtn	ɡeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔətkɔət	kɛs	jɔut	ljɔxt	hindər		sʋɛltsiz	tsis	motər	dɑi	jun	jʊŋkjə	bɑst	briv	hɑt	spɔ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst	rʊəzn	lɑŋə	ʋʏt	bɛntsjə	ʋi	fɑmkə	bʊsk	ljɛdər	mulə	drux	tʊəst	dik		fɛsi	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋʏrəx	supə	tɪn	suər		uərə	itɑlijə	bɛrɣən	fyə	spœyjə	trjowən	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	doər	nɑjə	ɡɛəs	brɔuwər	bɑkə	do	ɑijəŋ	krɛijə	mɛrk	ʋiən	fif	ikəls	heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər	krʊədə	buɣə	dytsərs	blɔu	slɑin	sjʏ	flɔu	sniə	stɛt	dʋɑndʋɑn	dopə	dopbɛkŋ	sɔldɑtn	tɛskjə	binə	bon
Oudega		mi	mɑt				ʋʏrk	ʊp	skɪp	kriɣə		bɔələ			fɪŋər			biər	tʋɑ	trejə	hi	knɛpəl	ɪk	knɪbəl	sjuən				kɪrl		stjɪn	bredər			dyvəl	bljowən	mestər	se	ɡrɑɣ		stɔk	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛmə		bɛət			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kjɛs	jɔut	ljɔxt	hindər	tsjɪ		sis		dɛi	jun		bɑst	briəv	hɑt	slɑ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊs	lɛidər	mulə	drux	tʊəst	ʋæi		liətsi	ɡuət	kɛldər	fuɑ	muəst		drɪŋkə	bruər	ʋɑrəx		tɪn	suər	pʏt	uərə			fjuər		trywə	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	dʊər		ɡjɛs		bɑkə	du	ɑijəŋ	krɛijə		ʋiən	fif		heə	ɪz	ɡriən	bjɛmkə	ʋɪn	huz	mɔlkə	spœytət	ko	kɔstər		buɣə		blɔu	slen	sjø	flɔu	sniə		dʋɑn	dopə			tɛskjə	binə	
Rottevalle		mi	frøə				ʋʏrk	ʊb	skɪp	kriɣə		bɔləbɔlə			fɪŋər		fjɔuwər	biər	tʋɑ	trɛijə	hi	knɛpəl	ɪk	knɪbəl	sjuən				kɪrl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑɣ		stɔk	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛmə		bɛd			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	mɑt		kɔət	kjɛz	jɔut	ljɑxt	hindər	tsjɪ		tsis		dɛi	jon		skuʊr	briəv	hɑt	spɔnə	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɪk	ʋɛst		lɑŋə	ʋʏt	bɛntsjə	ʋi	fɑmkə	bʊsk	lɛidər	mulə	drux	toəst	ʋɛi		liətsjə	ɡuət	kɛldər	fuɑ	muəst		drɪŋkə	bruər	ʋɑrəx		tɪn	suər	pʏt	uərə			fjuər		drʏkətrywə	hɑ	stɪk	brɛɣə	fɔlə	kʊmə	doər		ɡjɛs		bɑkə	du	ɑijəŋ	krɛijə		ʋiən	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytətspøytət	ko	kɔstər		buɣə		blɔu	slɛinslein	sjø	flɔu	sniə		dʋɑn	dopə			tɛskjə	binə	
Ureterp	hɪn	miŋ	kɑmərɑtskə	blom	spɪnə	məsinəsməsin	ʋʏrk	ʊp	skɪp	kriɡŋ		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwə	biər	twɑ	trɛijə	hɛi	knɛpəl	ɪk	knɪbəl	sjuən	rɛəɣəbɔl	pɛt	pɔdəstuəl	keərl	bredə	stjɪn	bredər	brestn	stʊntbeltstɔəmbelt	dyvəl	blouwənbleuwən	mestər	se	ɡrɑ	ətinəhɔlsətinəkel	stɔk	biəzəm	ne	rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə	frɔu	swɛmə	stɛrk	bɛət	ʊptɪlə		sprɪŋə		hɛit	sɛiz	jiə	skuɑlə			wɛtər	pɔtn	bɪn		mɑət	nɔɡ	kɔət	kjɛs	jɔut	ljɔxt	hindər		swɛltsis	tsissis	motər	dɛi	jun	jʊŋkjə	skuor	briəf	hɑt	spɔnə	nɛijə	ʋɛin	soə	kʊənəŋ	ɪk	ʋɛst	roəzn	lɑŋə	ʋʏt	bɛntsjə	ʋi	fɑmkə	boz	lɛidər	mulə	drux	tʊəst	ʋɛi		fɛskə	ɡuət	kɛldər	fuɑ	must	ɔsəbluət	drɪŋkə	bruər	ʋɑrx	supə	tɪn	sur	pʏt	urə	itɑljə	bɛrɣən	fjuə	spœijə	drʏkŋ	hɑ	stɪk	brɛəɡə	fɔələ	komə	doər	nɑəijə	ɡjɛs	brɔuwər	bɑkə	dou	ɑəijən	krɛijə	mɛrk	ʋiən	fif	ikəlsikəls	heə	ɪz	ɡriən	bjɛmkə	ʋin	hus	mɔlkə	spɛitətspœitət	kou	kɔstər	kroədə	buɣə	dytsərs	blɔu	slenslɛin	sjy		sniə	stɛt	dwɑn	dopə	dopfʊnt	sɔldatn	tɛskjə	binə	boun
Marum		mi	kɑmərʊət				ʋɑk	ʊb	skɪp	kreɡŋ		brot			fɪŋər		fiə	biər	tʋe	dri	hɛi	knʏpəl	ɪk	knɛikni	sin				keərl		stinsten				dyvəl	blebm	mestər	se	xrɔəɣ		stɔk	bɛsəm		rupm	peər	rip	xɛlt	fɛr	brɛŋ		sʋɛm		bɛərə			sprɪŋ		fʊədər	sɛz	jɔər	skuəl	lɔətn	ɡʊə		pɔtn	bɪn	føl	meət	nɔx	kɔəlt	keəs	xɛft	lɪxt	peəd	teɡŋ		kes		dɑɣ	ʊəbmt		bɑstbɑrst	briv	hɑt	spɑn	nɛijə	kɑrə	søn	kønɪŋkonɪŋ	ʊk	ʋɛst		lɑŋə	ʋʊət	kɪntjə	ʋɑz	mɛiskə	bʊs	lɛdər	mʊnt	drøx	dœst	ʋɛɣ		lidjə	xut	kɛlər	føə	mɔs		drɪŋkə	bruərbryər	mydə		dʏn	syərsuər	pʏt	yər			fyər		drʏkŋ	hɛbm	stʏk	brʏx	fʊltjə	kʊm	døər		xrɑs		bɑkŋ	jə	ɛijər	kriɡŋ		ʋɑdn	fif		hø	ɪz	xryn	bomkə	ʋin	hys	mɛlk	spœyt	ku	kɔstər		buɡŋ		blɔu	slɔəɡŋ	sɔuz		snɛi		dun	døpm			dœsndœsn	bin	
