location	word	transcription
Hollum	kruiwagen	krœyʋaɣən
Hollum	buigen	byɣə
Hollum	Duitsers	dytsəs
Hollum	blauw	blɔu
Hollum	geslagen	slaɣən
Hollum	saus	sjy
Hollum	flauw	flɑu
Hollum	sneeuw	sne
Hollum	stad	stɑt
Hollum	doen	duən
Hollum	dopen	dopə
Hollum	doopvont	dopfʊnt
Hollum	soldaten	sɔldatn
Hollum	dorsen	dʏskə
Hollum	binden	binə
Hollum	gebonden	bʊn
Nes	kippen	hɪn
Nes	mijn	mi
Nes	vriend	friənt
Nes	bloemen	blum
Nes	spinnen	spɪnə
Nes	machines	məsinə
Nes	werk	ʋɛrk
Nes	op	ʊp
Nes	schip	skɪp
Nes	kregen	kreɣə
Nes	beschimmeld	skɪmələɣ
Nes	brood	broət
Nes	timmerman	tɪmərmɑn
Nes	splinter	splɪntər
Nes	vinger	fɪŋər
Nes	fabriek	fəbrik
Nes	vier	fiər
Nes	bier	biər
Nes	twee	tʋiə
Nes	drie	driə
Nes	hij	hɛi
Nes	knuppel	knɛpəl
Nes	ik	ɪk
Nes	knie	knɪbəl
Nes	gezien	siən
Nes	ragebol	raɣəbɔl
Nes	pet	pɛt
Nes	paddestoel	pʊdəpɑstn
Nes	kerel	keərl
Nes	brede	bredə
Nes	stenen	stiən
Nes	breder	bredər
Nes	breedste	brestə
Nes	standbeeld	stɑndbelt
Nes	duivel	dyvəl
Nes	gebleven	blevən
Nes	meester	mestər
Nes	zee	se
Nes	graag	ɡrɑɣ
Nes	keelpijn	pinəkel
Nes	steel	stɔk
Nes	bezem	bezəm
Nes	neen	
Nes	geroepen	rupən
Nes	peer	peər
Nes	rijp	rip
Nes	geld	ɡɛlt
Nes	ver	feər
Nes	brengen	brɪŋə
Nes	vrouw	frɔu
Nes	zwemmen	sʋɪmə
Nes	sterk	stɛrk
Nes	bed	bɛəd
Nes	optillen	ʊptɪln
Nes	metselaar	mɛtsəlɑr
Nes	springen	sprɪŋə
Nes	boterham	brʊt
Nes	vader	fɑdər
Nes	zes	sɛs
Nes	jaar	jɑr
Nes	school	skʊəl
Nes	laten	lɑtn
Nes	gaan	ɡɑ
Nes	water	ʋɑtər
Nes	potten	pɔtn
Nes	zijn	bɪn
Nes	veel	føl
Nes	maart	mɑt
Nes	nog	nɔx
Nes	koud	kɔəd
Nes	kaars	keəs
Nes	geeft	ɡeft
Nes	licht	lɪxt
Nes	paard	peət
Nes	tegen	tøɣə
Nes	zwaluwen	sʋɑlywə
Nes	kaas	kes
Nes	motor	motər
Nes	dag	dɑɣ
Nes	avond	ɑvən
Nes	jongetje	jʊŋətjə
Nes	barst	bɑstbɑist
Nes	brief	briv
Nes	hart	hɑthɑit
Nes	spannen	slɑ
Nes	nieuwe	nɛijə
Nes	kar	kɑr
Nes	zoon	søn
Nes	koning	koənɪŋ
Nes	ook	ʊk
Nes	geweest	ʋest
Nes	rozen	roəzn
Nes	lange	lɑŋə
Nes	woord	ʋoət
Nes	kindje	kin
Nes	was	ʋɑr
Nes	dochtertje	mɛiskə
Nes	bos	bʊs
Nes	ladder	lɑdər
Nes	mond	mʊən
Nes	droog	drox
Nes	dorst	dʏst
Nes	weg	ʋɛx
Nes	krom	
Nes	liedje	fɛrsi
Nes	goed	ɡuət
Nes	kelder	kɛldər
Nes	voor	foə
Nes	moest	mʊst
Nes	ossenbloed	ɔsəbluət
Nes	drinken	drɪŋkə
Nes	broer	bruər
Nes	moe	muəd
Nes	karnemelk	syp
Nes	dun	dʏn
Nes	zuur	syər
Nes	put	pʏt
Nes	uur	yər
Nes	Italië	itɑlijə
Nes	bergen	bɛrɣən
Nes	vuur	fyər
Nes	spuwen	spɛijə
Nes	duwen	dɔuwən
Nes	hebben	hɛ
Nes	stuk	stɪk
Nes	brug	brʏx
Nes	veulen	fɔəltjə
Nes	komen	kʊmə
Nes	deur	døər
Nes	naaien	nɑijə
Nes	gras	ɡɛs
Nes	brouwer	brɔuwər
Nes	bakken	bɑkə
Nes	je	jɔu
Nes	eieren	ɛijərs
Nes	krijgen	krɛijə
Nes	markt	mɛrk
Nes	waren	ʋɑrə
