location	word	trs
slavjanovo, plev	10	vˈeʒdə
smochevo, dupn	10	vˈeʒdə
smolsko, pird	10	vʲˈɑʒdɑ
solishta, dev	10	vˈɛɕkə
sredec, zlgr	10	vʲˈɑʑdə
stakevci, blgr.	10	ved_ʒˈɑ
stambolovo, hask	10	vʲˈeɕkə
starmen, bel	10	vʲˈeʒdə
stoilovo, mt	10	vʲˈɑʒɡə
straldzha, jamb	10	vʲˈeʒdə
stroevo, plov	10	vʲˈeʒɡə
suhindol, vtarn	10	vʲˈeʒdə
sushica, blgr	10	vˈeʒdɑ
svetlina, topgr	10	*vʲˈeʃkə
svirkovo, harm	10	vʲˈɑɕkə
tihomir, krgr	10	vˈɛɕkə
tihomirovo, stzag	10	vʲˈeʒdə
topolchane, sliv	10	vʲˈeʒdə
trancovica, nik	10	vʲˈɑʒdɤ
trastenik, plev	10	vˈeʒdɑ
ustovo, sm	10	vˈɛɕkʊ
vabel, nik	10	vʲˈeʒdə
vaklinovo, gd	10	vʲˈeʃkə
valche pole, svgr	10	vʲˈɑɕkɤ
varbica, presl	10	vʲˈeʒdə
varbovo, blgr	10	ved_ʒˈɑ
vardun, targ	10	vʲˈeʒdə
varvara, paz	10	vˈeʃkɑ
vasiljovo, tetev	10	vʲˈɑʒdɑ
velkovci, pk	10	vˈeʒdɑ
vinarovo, vid	10	vˈeʒdɑ
vinishte, mont	10	vˈeʒdɑ
vladinja, lov	10	vʲˈeʒdə
voden, elh	10	vˈɛʒɡɑ
vojnjagovo, karl	10	viʒdˈɤ
vrachesh, botgr	10	vˈeʒdɑ
vranilovci, gabr	10	vʲˈeʒdə
vresovo, ajt	10	vʲˈeʒdə
zabardo, asgr	10	vˈɛɕkə
zabernovo, mt	10	vʲˈɑʒɡə
zamfirovo, berk	10	veʒdˈɑ
zanozhene, berk	10	veʒdˈɑ
zdravkovec, gabr	10	vʲˈeʒdə
zelenigrad, tran	10	ved_ʒˈɑ
zhaltusha, ard	10	vˈɛʑdə
zheglica, vid	10	*veʒdˈɑ
zhelen, svog	10	vˈeʒdɑ
zheljazkovo, sred	10	vˈɛʒɡɤ
zheravna, kot	10	*vʲˈɑʒdɤ
aldomirovci, slivnica	100	orˈej
asparuhovo, lom	100	orˈej
asparuhovo, prov	100	ˈorew
babjak, razl	100	xˈorex
bachkovo, asgr	100	ˈorʲəx
bagrenci, kjust	100	orˈeh
balgari, carev	100	ˈorex
banishte, brezn	100	orˈej
bansko, razl	100	urˈeɕ
beglezh, luk	100	urˈej
belene, svisht	100	urʲˈej
belica, razl	100	urˈex
bistrica, blgr	100	ˈorex
bogdanov dol, pern	100	orˈex
borisovo, elh	100	*ˈoref
bov, svog	100	orˈex
brashljan, mtarn	100	wˈoreh
buchin prohod, god	100	orˈej
caparevo, sand	100	orˈex
cerovica, kjust	100	orˈej
chepelare, asgr	100	ˈorəx
chernogorovo, paz	100	ˈorej
chernomorec, bs	100	wˈorʲəf
chukovec, radom	100	orˈej
dermanci, luk	100	orˈɛx
devenci, luk	100	ˈorej
devesilica, krgr	100	wˈorij
dichin, vtarn	100	*ˈorʲəw
dinevo, hask	100	ˈoreh
diva slatina, mont	100	orˈej
divdjadovo, shum	100	ˈorʲəw
dobarsko, razl	100	urˈɛx
dobroselec, topgr	100	ˈorʲuf
dobroslavci, sof	100	orˈej
dobrotino, gd	100	ˈorəx
dolna beshovica, vrach	100	orˈex
dolna dikanja, radom	100	orˈej
dolna melna, tran	100	orˈɑs
dolna riksa, mont	100	orˈej
dolna srudena, bel	100	*ˈorew
dolni bogrov, sof	100	orˈej
dolno levski, pan	100	orˈej
dorkovo, velgr	100	*ˈoreh
drabishna, ivgr	100	*ˈorej
dragizhevo, vtarn	100	ˈorʲəj
dragodanovo, sliv	100	ˈorʲəu
dragoevo, presl	100	wˈorʲəf
dragojchinci, kjust	100	*orˈɑ
elov dol, pk	100	*orˈej
enina, kaz	100	ˈorʲəf
ezerovo, parvom	100	wˈorʲɤf
furen, vrach	100	orˈej
gabare, bslat	100	orˈej
gabra, elpel	100	orˈex
galata, tetev	100	orʲˈɑː
ganchovec, drjan	100	*ˈorex
garmen, gd	100	ˈorex
garvan, sil	100	wˈorih
gega, petr	100	orˈex
glozhene, orjah	100	orˈex
golema rakovica, elpel	100	orˈex
golemo malovo, sliven	100	orˈej
golica, varn	100	vˈorʲəx
goljama zheljazna, tetev	100	urʲˈɑ
goljamo shivachevo, sliv	100	*ˈorʲəf
gorna rosica, sevl	100	ˈorʲəf
gorni varpishta, drjan	100	ˈorɪx
govedarci, sam	100	orˈex
gradec, vd	100	orˈej
huhla, ivgr	100	ˈorej
hvojna, asgr	100	wˈorʲeh
indzhe vojvoda, mtarn	100	ˈoreç
ivanski, shum	100	ˈorew
izvorovo, harm	100	ˈorʲəh
javorovo, asgr	100	ˈorex
kalipetrovo, sil	100	ˈorʲef
kalojanovo, plov	100	urʲˈej
karaisen, pavl	100	*ˈorʲəw
karanovo, ajt	100	ˈorʲəf
kaspichan, np	100	ˈorʲɤw
kolju marinovo, chirp	100	ˈorej
konska, brezn	100	orˈej
kopilovci, mont	100	orˈe
koprivshtica, pird	100	orˈex
korten, nzag	100	*ˈorʲəɸ
kostenec, iht	100	ˈorej
kovachevci, sam	100	orˈej
kozichino, pom	100	vˈorʲəx
kramolin, sevl	100	urʲˈɑw
kravenik, sevl	100	urʲˈɑf
kreta, vrach	100	ʊrˈex
krivnja, razgr	100	ˈorew
levunovo, sand	100	orˈex
liljache, vr	100	*orˈex
lipnica, botgr	100	orˈej
ljubenova mahala, nzag	100	ˈorʲuf
lobosh, rad	100	orˈej
lozen, sof	100	orˈex
malomirovo, elh	100	*ˈorix
marchaevo, sof	100	orˈej
marikostinovo, petr	100	*ˈorex
markovo, shum	100	ˈorew
merdanja, vtarn	100	ˈorʲəj
merichleri, chirp	100	ˈorʲəx
mihalci, pavl	100	ˈorʲəw
milchina laka, kul	100	orˈej
momchilovci, smol	100	ˈorəx
momina banja, pl	100	urʲˈɑf
momina klisura, pz	100	ˈorej
momkovo, svgr	100	*ˈorix
mugla, dev	100	ˈoreh
nikolovo(lipnik), rus	100	*ˈorʲɤw
nikolovo, hask	100	ˈoref
noevci, brezn	100	*orˈej
nova lovcha, gd	100	wˈorex
